Table_name,Table_description,Field_name,Field_description,Mapping
diagnosis_icd,"During routine hospital care, patients are billed by the hospital for diagnoses associated with their hospital stay. This table contains a record of all diagnoses a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies. Diagnoses are billed on hospital discharge, and are determined by trained persons who read signed clinical notes.",subject_id,Unique identifier assigned to each patient for whom one or more diagnoses were billed during a hospital stay.,['Condition.subject']
diagnosis_icd,"During routine hospital care, patients are billed by the hospital for diagnoses associated with their hospital stay. This table contains a record of all diagnoses a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies. Diagnoses are billed on hospital discharge, and are determined by trained persons who read signed clinical notes.",hadm_id,Unique identifier for the specific hospital admission during which the ICD-coded diagnoses were billed at discharge.,['Condition.encounter']
d_icd_diagnoses,This table defines International Classification of Diseases (ICD) Version 9 and 10 codes for diagnoses. These codes are assigned at the end of the patient's stay and are used by the hospital to bill for care provided.,icd_code,ICD-9 or ICD-10 code used to classify a patient diagnosis for billing purposes at the end of a hospital stay.,['Condition.code']
d_icd_diagnoses,This table defines International Classification of Diseases (ICD) Version 9 and 10 codes for diagnoses. These codes are assigned at the end of the patient's stay and are used by the hospital to bill for care provided.,long_title,Human-readable description of the clinical meaning associated with a specific ICD-9 or ICD-10 diagnosis code.,['Condition.code']
admissions,"The admissions table gives information regarding a patient's admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",hadm_id,Primary identifier for a single hospital visit that uniquely links all admission-related data including timing and demographic information.,['Encounter.identifier']
admissions,"The admissions table gives information regarding a patient's admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",admission_type,Classification indicating the urgency or clinical priority of the patient's hospital admission (e.g. emergency vs elective).,"['Encounter.class', 'Encounter.priority']"
admissions,"The admissions table gives information regarding a patient's admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",admission_location,The physical location or facility from which the patient was transferred or arrived prior to hospital admission.,['Encounter.hospitalization.admitSource']
admissions,"The admissions table gives information regarding a patient's admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",discharge_location,The destination or care setting to which the patient was transferred upon discharge from the hospital.,['Encounter.hospitalization.dischargeDisposition']
admissions,"The admissions table gives information regarding a patient's admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",subject_id,Unique identifier for the patient associated with a given hospital admission record.,['Encounter.subject']
admissions,"The admissions table gives information regarding a patient's admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",admittime,Timestamp recording the exact date and time the patient was admitted to the hospital for a given visit.,['Encounter.period']
