Table_name,Table_description,Field_name,Field_description,Mapping
diagnosis_icd,"During routine hospital care, patients are billed by the hospital for diagnoses associated with their hospital stay. This table contains a record of all diagnoses a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies. Diagnoses are billed on hospital discharge, and are determined by trained persons who read signed clinical notes.",subject_id,Unique patient identifier,['Condition.subject']
diagnosis_icd,"During routine hospital care, patients are billed by the hospital for diagnoses associated with their hospital stay. This table contains a record of all diagnoses a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies. Diagnoses are billed on hospital discharge, and are determined by trained persons who read signed clinical notes.",hadm_id,Identifier for single patient’s admission to the hospital,['Condition.encounter']
d_icd_diagnoses,This table defines International Classification of Diseases (ICD) Version 9 and 10 codes for diagnoses. These codes are assigned at the end of the patient’s stay and are used by the hospital to bill for care provided.,icd_code,ICD code for the diagnoses,['Condition.code']
d_icd_diagnoses,This table defines International Classification of Diseases (ICD) Version 9 and 10 codes for diagnoses. These codes are assigned at the end of the patient’s stay and are used by the hospital to bill for care provided.,long_title,Meaning of ICD code,['Condition.code']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",hadm_id,Identifier for single patient’s admission to the hospital,['Encounter.identifier']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",admission_type,Classification for the urgency of the admission,"['Encounter.class', 'Encounter.priority']"
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",admission_location,Location of the patient prior to arriving at the hospital,['Encounter.hospitalization.admitSource']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",discharge_location,Disposition of the patient after they are discharged from the hospital,['Encounter.hospitalization.dischargeDisposition']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",subject_id,Unique patient identifier,['Encounter.subject']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",admittime,Date and time the patient was admitted to the hospital,['Encounter.period']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",dischtime,Date and time the patient was discharged from the hospital,['Encounter.period']
hcpcsevents,Billed events occurring during the hospitalization. Includes CPT codes.,hcpcs_cd,Five character code which uniquely represents the event,['Encounter.type']
hcpcsevents,Billed events occurring during the hospitalization. Includes CPT codes.,short_description,Short textual descriptions of the hcpcs_cd listed,['Encounter.type']
services,"The services table describes the service that a patient was admitted under. While a patient can be physicially located at a given ICU type (say MICU), they are not necessarily being cared for by the team which staffs the MICU. This can happen due to a number of reasons, including bed shortage. The services table should be used if interested in identifying the type of service a patient is receiving in the hospital. For example, if interested in identifying surgical patients, the recommended method is searching for patients admitted under a surgical service.

Each service is listed in the table as an abbreviation - this is exactly how the data is stored in the hospital database. For user convenience, we have provided a description of each service type.",curr_service,Current service that the patient resides under,['Encounter.serviceType']
transfers,Physical locations for patients throughout their hospital stay.,careunit,Type of unit or ward in which the patient is physically located,"['Location.name', 'Location.identifier', 'Encounter.location']"
transfers,Physical locations for patients throughout their hospital stay.,intime,Date and time the patient was transferred into the current care unit,['Encounter.location.period']
transfers,Physical locations for patients throughout their hospital stay.,outtime,Date and time the patient was transferred out of the current physical location,['Encounter.location.period']
icustays,Tracking information for ICU stays including admission and discharge times.,stay_id,Unique identifier to a patient ward stay,['Encounter.identifier']
icustays,Tracking information for ICU stays including admission and discharge times.,first_careunit,First ICU type in which the patient was cared for,['Encounter.location']
icustays,Tracking information for ICU stays including admission and discharge times.,intime,Date and time the patient was transferred into the ICU,['Encounter.period']
icustays,Tracking information for ICU stays including admission and discharge times.,outtime,Date and time the patient was transferred out of the ICU,['Encounter.period']
icustays,Tracking information for ICU stays including admission and discharge times.,subject_id,Unique patient identifier,['Encounter.subject']
icustays,Tracking information for ICU stays including admission and discharge times.,hadm_id,Identifier for single patient’s admission to the hospital,['Encounter.partOf']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,subject_id,Unique patient identifier,['MedicationAdministration.subject']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,hadm_id,Integer identifier which is unique for each patient hospitalization,['MedicationAdministration.context']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,charttime,Time at which the medication was administered,['MedicationAdministration.effective[x]']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",pharmacy_id,Identifier which allows linking the eMAR order to pharmacy information provided in the pharmacy table,['MedicationAdministration.request']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",site,Location on the patient where the medication was administred,['MedicationAdministration.dosage.site']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",route,Route of administration for the medication,['MedicationAdministration.dosage.route']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",event_txt,Free-text descriptions or comments related to a medication administration event,['MedicationAdministration.dosage.route']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",infusion_rate,Rate at which the medication was infused,['MedicationAdministration.dosage.rate[x]']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",infusion_rate_unit,Unit of measurement for the frequency of infusion,['MedicationAdministration.dosage.rate[x]']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",product_code,Identifier for the medication given to the patient,['MedicationAdministration.medication[x]']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,medication,Name of the medication givent to the patient,['MedicationAdministration.medication[x]']
poe,Provider order entry (POE) is the general interface through which care providers at the hospital enter orders. Most treatments and procedures must be ordered via POE.,order_type,Type of provider order,['MedicationAdministration.medication[x]']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,subject_id,Unique patient identifier,['MedicationAdministration.subject']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,stay_id,Unique identifier to a patient ICU stay,['MedicationAdministration.context']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,starttime,Start time of an input/output event,['MedicationAdministration.effective[x]']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,rate,Rate at which the drug or substance was administered to the patient either between the starttime and endtime,"['MedicationAdministration.dosage.rate[x]', 'MedicationAdministration.effective[x]']"
inputevents,Information documented regarding continuous infusions or intermittent administrations.,endtime,End time of an input/output event,['MedicationAdministration.effective[x]']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,ordercategorydescription,Describes the role of the substance in the solution,['MedicationAdministration.dosage.method']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,amount,Amount of medication given to the patient in standard units,['MedicationAdministration.dosage.dose']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,amountuom,Amount of medication given to the patient in standardized units,['MedicationAdministration.dosage.dose']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,rateuom,Rate of medication administration given to the patient in standardized unit,['MedicationAdministration.dosage.rate[x]']
d_items,Dimension table describing itemid. Defines concepts recorded in the events table in the ICU module.,itemid,Items identifier,"['Observation.code', 'MedicationAdministration.medication[x]']"
